Status,AcqSite,Scanner,Project,Session,ScanId,ScanDate,InsertDate,UUID
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA7502059_V1_B,10,2017-04-28,2017-05-03 14:27:22.605,85bf789a-6a38-43ae-8429-a2ae02bc901f
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA7502059_V1_B,13,2017-04-28,2017-05-03 14:27:22.605,ffb7e4f7-3ba6-4763-8df4-574869cb652f
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA7502059_V1_B,18,2017-04-28,2017-05-03 14:27:22.605,97ce3040-d816-44d3-a5c6-fb0ae078bfec
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA7502059_V1_B,21,2017-04-28,2017-05-03 14:27:22.605,b66db46c-0cc6-489a-9859-3708228e4a39
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA7502059_V1_B,24,2017-04-28,2017-05-03 14:27:22.605,6d5fd9b9-7ba4-4bcb-9910-c83c714ae359
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA7502059_V1_B,27,2017-04-28,2017-05-03 14:27:22.605,c4e62ac8-8b1a-47d5-aa08-5670ca169e71
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA8536081_V1_B,10,2017-05-22,2017-05-22 20:31:55.683,f7efd2a2-113b-477c-a4d4-0ac7c40f1d29
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA8536081_V1_B,13,2017-05-22,2017-05-22 20:31:55.683,2e0aac71-a698-44fc-8cb9-e6375361b231
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA8536081_V1_B,18,2017-05-22,2017-05-22 20:31:55.683,2cb46df0-4074-45b2-8c5b-7b8a65284fb6
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA8536081_V1_B,21,2017-05-22,2017-05-22 20:31:55.683,a4880984-1b78-408e-a3aa-22f90244fd68
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA8536081_V1_B,24,2017-05-22,2017-05-22 20:31:55.683,449bf309-bc70-4e2b-9c9d-86ad3016148e
HAS RAW,MGH PrismaFit-Bay4,BAY4OC,CCF_HCA_ITK,HCA8536081_V1_B,27,2017-05-22,2017-05-22 20:31:55.683,ba9d5cdb-a98e-46e0-a771-46e2addd2fca
MISSING RAW,,MRC35426,CCF_HCA_ITK,HCA6307056_V1_A,10,2017-05-18,2017-05-24 15:34:18.502,bd7cc930-9a9b-4a66-94bc-e7a2748c9627
